Graph Topology,Algorithm,Mean (ms),Median (ms),Standard Deviation (ms),Speed-up Multiplier,Time Decrease (%)
"DAG","Dijkstra",7.54,2.74,25.76,1.00x,0.00%
"DAG","Linear (DFS)",3.38,1.92,5.70,2.23x,55.17%
"DAG","Linear (Kahn)",4.42,1.72,4.45,1.71x,41.36%
