Graph Topology,Algorithm,Mean (ms),Median (ms),Standard Deviation (ms)
"Sparse Graph (E ~ 5V)","Prim's Algorithm",9.31,4.02,6.97
"Sparse Graph (E ~ 5V)","Kruskal's Algorithm",9.68,6.20,8.67
"Dense Graph (E ~ 25%)","Prim's Algorithm",65.17,61.50,7.23
"Dense Graph (E ~ 25%)","Kruskal's Algorithm",101.02,97.14,6.28
"Complete Graph (E ~ 100%)","Prim's Algorithm",202.96,198.36,15.52
"Complete Graph (E ~ 100%)","Kruskal's Algorithm",495.28,503.30,37.68
